s000188927,AMU022 01,TBA,2100,2120
s000164639,ART109 01,MW,1300,1430
s000175379,ART109 01,MW,1300,1430
s000179377,ART109 01,MW,1300,1430
s000172202,ART109 01,MW,1300,1430
s000178819,ART109 01,MW,1300,1430
s000187054,ART109 01,MW,1300,1430
s000188821,ART109 01,MW,1300,1430
s000187833,ART109 01,MW,1300,1430
s000158649,ART109 01,MW,1300,1430
s000172182,ART109 01,MW,1300,1430
s000182475,ART109 01,MW,1300,1430
s000189521,ART109 01,MW,1300,1430
s000173552,ART109 01,MW,1300,1430
s000181372,ART110 01,TR,0900,1030
s000182705,ART110 01,TR,0900,1030
s000183733,ART110 01,TR,0900,1030
s000181379,ART110 01,TR,0900,1030
s000168445,ART110 01,TR,0900,1030
s000143722,ART110 01,TR,0900,1030
s000182860,ART110 01,TR,0900,1030
s000183221,ART110 01,TR,0900,1030
s000189033,ART110 01,TR,0900,1030
s000186453,ART110 01,TR,0900,1030
s000178548,ART110 01,TR,0900,1030
s000162006,ART110 01,TR,0900,1030
s000165773,ART110 01,TR,0900,1030
s000185206,ART110 01,TR,0900,1030
s000189493,ART110 02,TR,1330,1445
s000189372,ART110 02,TR,1330,1445
s000187461,ART110 02,TR,1330,1445
s000189517,ART110 02,TR,1330,1445
s000189447,ART110 02,TR,1330,1445
s000187618,ART110 02,TR,1330,1445
s000186317,ART110 02,TR,1330,1445
s000189342,ART110 02,TR,1330,1445
s000179525,ART110 02,TR,1330,1445
s000189303,ART110 02,TR,1330,1445
s000185984,ART110 02,TR,1330,1445
s000172485,ART110 02,TR,1330,1445
s000167110,ART111 01,W,1315,1600
s000173879,ART111 01,W,1315,1600
s000179453,ART111 01,W,1315,1600
s000175960,ART111 01,W,1315,1600
s000142374,BA 220 01,TR,1200,1315
s000146730,BA 220 01,TR,1200,1315
s000149762,BA 220 02,TR,0800,0915
s000153752,ART201 01,M,1315,1550
s000154837,ART206 01,TR,0800,0920
s000154837,ART226 02,MW,1300,1430
s000159169,ART205 01,MW,1000,1130
s000159460,ART209 01,TR,0800,0915
s000159460,ART405 01,TR,0930,1100
s000159460,ART226 02,MW,1300,1430
s000159526,ART206 01,TR,0800,0920
s000159710,BA 221 01,MWF,1000,1050
s000160967,ART126 01,MW,1000,1130
s000160989,ART126 01,MW,1000,1130
s000161057,ART126 01,MW,1000,1130
s000161613,ART201 01,M,1315,1550
s000161719,BA 220 A211,T,1800,2155
s000161868,BA 221 01,MWF,1000,1050
s000162564,ART205 02,TR,1200,1330
s000162571,BA 100 01,MWF,0900,0950
s000162854,ART226 01,MW,1000,1130
s000162936,ART126 01,MW,1000,1130
s000162936,ART205 02,TR,1200,1330
s000163394,ART126 01,MW,1000,1130
s000163544,ART126 01,MW,1000,1130
s000164423,BA 221 02,MWF,1100,1150
s000164712,BA 221 02,MWF,1100,1150
s000164964,BA 221 01,MWF,1000,1050
s000165341,AT 471 01,TR,0800,0915
s000165341,AT 415 01,MWF,0800,0850
s000165643,ART205 02,TR,1200,1330
s000165643,BA 221 01,MWF,1000,1050
s000165744,BA 100 03,MWF,1100,1150
s000166042,ART405 01,TR,0930,1100
s000166042,ART309 01,TR,1300,1430
s000166042,ART450 02,TBA,0100,0110
s000166156,BA 221 01,MWF,1000,1050
s000166483,AT 471 01,TR,0800,0915
s000166483,AT 415 01,MWF,0800,0850
s000166518,BA 221 01,MWF,1000,1050
s000166897,BA 220 01,TR,1200,1315
s000166897,BA 100 03,MWF,1100,1150
s000166951,ART226 01,MW,1000,1130
s000167110,ART209 01,TR,0800,0915
s000167110,ART205 03,TR,1400,1530
s000167110,ART450 01,TBA,0100,0110
s000167110,ART405 01,TR,0930,1100
s000167640,ART226 02,MW,1300,1430
s000167696,ART405 01,TR,0930,1100
s000167963,ART226 01,MW,1000,1130
s000167963,ART205 03,TR,1400,1530
